# [ 1] = time [s]
# [ 2] = dt [s]
# [ 3] = temperature [GK]
# [ 4] = density [g / cm^3]
# [ 5] = entropy [kb / baryon]
# [ 6] = specific heating rate [erg / s / g]
# [ 7] = Ye []
# [ 8] = neutron abundance []
# [ 9] = proton abundance []
# [10] = alpha abundance []
# [11] = Average A []
# [12] = Average A for A >= 12 []
# [13] = total mass fraction of 2 <= A <= 11 []
# [14] = total mass fraction of 12 <= A <= 119 []
# [15] = total mass fraction of 120 <= A <= 249 []
# [16] = total mass fraction of 250 <= A []
# [17] = total abundance of 2 <= A <= 11 []
# [18] = total abundance of 12 <= A <= 119 []
# [19] = total abundance of 120 <= A <= 249 []
# [20] = total abundance of 250 <= A []
# [21] = total mass fraction of Lanthanides (58 <= Z <= 71) []
# [22] = total mass fraction of Actinides (90 <= Z <= 103) []
# [23] = total abundance of Lanthanides (58 <= Z <= 71) []
# [24] = total abundance of Actinides (90 <= Z <= 103) []
    0.000000000000000e+00     0.000000000000000e+00     1.000000000000000e+01     1.231105767261136e+07     3.799999999999972e+01     0.000000000000000e+00     3.850000000000134e-01     4.733678425523299e-01     2.433694275186019e-01     7.075092368061772e-02     1.269653813290376e+00     1.201886347039733e+01     2.832627273751009e-01     2.553967553772364e-09     1.117028619762357e-91     0.000000000000000e+00     7.087899923215428e-02     2.124965942131575e-10     9.302319244467403e-94     0.000000000000000e+00    5.889627698012210e-111     0.000000000000000e+00    4.545856933859113e-113     0.000000000000000e+00
    1.000000000000000e-12     1.000000000000000e-12     9.999999999444837e+00     1.231105767055952e+07     3.799999999999979e+01     6.123090863225198e+14     3.850000000000139e-01     4.733678425523294e-01     2.433694275186024e-01     7.075092368061772e-02     1.269653813290376e+00     1.201886347039733e+01     2.832627273751009e-01     2.553967553772363e-09     3.714779966639159e-64     0.000000000000000e+00     7.087899923215428e-02     2.124965942131574e-10     2.793067644089593e-66     0.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00
    3.000000000000000e-12     2.000000000000000e-12     9.999999998334507e+00     1.231105766645583e+07     3.799999999999983e+01     2.985646135198310e+14     3.850000000000149e-01     4.733678425523283e-01     2.433694275186035e-01     7.075092368061772e-02     1.269653813290376e+00     1.201886347039734e+01     2.832627273751009e-01     2.553967553772363e-09     2.450053934001664e-53     0.000000000000000e+00     7.087899923215428e-02     2.124965942131574e-10     1.803308322251835e-55     0.000000000000000e+00     1.022503890852992e-55     0.000000000000000e+00     7.451759717735772e-58     0.000000000000000e+00
    7.000000000000000e-12     4.000000000000000e-12     9.999999996113848e+00     1.231105765824846e+07     3.799999999999996e+01     4.554368483578484e+14     3.850000000000171e-01     4.733678425523262e-01     2.433694275186056e-01     7.075092368061772e-02     1.269653813290376e+00     1.201886347039733e+01     2.832627273751009e-01     2.553967553772362e-09     1.831723166678100e-51     0.000000000000000e+00     7.087899923215428e-02     2.124965942131573e-10     1.426495715756884e-53     0.000000000000000e+00     2.945529898490708e-52     0.000000000000000e+00     2.091575847449131e-54     0.000000000000000e+00
    1.500000000000000e-11     8.000000000000000e-12     9.999999991672944e+00     1.231105764183372e+07     3.799999999999999e+01     3.365589251157054e+17     3.850000000000213e-01     4.733678425521267e-01     2.433694275184138e-01     7.075092368071664e-02     1.269653813290850e+00     1.201886347030845e+01     2.832627273754921e-01     2.553967552237706e-09     2.158820494931077e-45     0.000000000000000e+00     7.087899923225165e-02     2.124965940870416e-10     1.702756870763850e-47     0.000000000000000e+00     1.049231686166920e-47     0.000000000000000e+00     8.328155980763930e-50     0.000000000000000e+00
    3.100000000000000e-11     1.600000000000000e-11     9.999999982792234e+00     1.231105760900423e+07     3.800000000000011e+01     7.411645010893184e+17     3.850000000000299e-01     4.733678425512463e-01     2.433694275175528e-01     7.075092368114984e-02     1.269653813292954e+00     1.201886347015328e+01     2.832627273772336e-01     2.553967579298880e-09     5.622130401880712e-45     0.000000000000000e+00     7.087899923268748e-02     2.124965963413434e-10     4.491846575752351e-47     0.000000000000000e+00     1.647040411283921e-47     0.000000000000000e+00     1.307104968762237e-49     0.000000000000000e+00
    6.299999999999999e-11     3.200000000000000e-11     9.999999965036166e+00     1.231105754334526e+07     3.800000000000015e+01     1.743697540417657e+18     3.850000000000471e-01     4.733678425471077e-01     2.433694275134683e-01     7.075092368318452e-02     1.269653813302887e+00     1.201886346986797e+01     2.832627273854567e-01     2.553967601250293e-09     2.287816269565853e-44     0.000000000000000e+00     7.087899923474913e-02     2.124965981728012e-10     1.832033457551983e-46     0.000000000000000e+00     7.339348015454570e-47     0.000000000000000e+00     5.815989600352761e-49     0.000000000000000e+00
    1.270000000000000e-10     6.400000000000000e-11     9.999999929542856e+00     1.231105741202731e+07     3.800000000000014e+01     3.501398026471718e+18     3.850000000000815e-01     4.733678425306293e-01     2.433694274970801e-01     7.075092369138315e-02     1.269653813342621e+00     1.201886346964852e+01     2.832627274183233e-01     2.553967623659805e-09     7.116666144446458e-44     0.000000000000000e+00     7.087899924296735e-02     2.124966000412095e-10     5.660743083132603e-46     0.000000000000000e+00     7.445217068535657e-45     0.000000000000000e+00     5.264583637582065e-47     0.000000000000000e+00
    2.549999999999999e-10     1.280000000000000e-10     9.999999858649653e+00     1.231105714939142e+07     3.800000000000007e+01     7.847333380410412e+18     3.850000000001503e-01     4.733678424552484e-01     2.433694274219310e-01     7.075092372798907e-02     1.269653813523065e+00     1.201886346897551e+01     2.832627275688532e-01     2.553967720780525e-09     6.524215622860272e-43     0.000000000000000e+00     7.087899928156058e-02     2.124966081337993e-10     5.283028879864081e-45     0.000000000000000e+00     1.030046517340794e-44     0.000000000000000e+00     7.533671191442242e-47     0.000000000000000e+00
    5.110000000000000e-10     2.560000000000000e-10     9.999999717194596e+00     1.231105662411966e+07     3.800000000000003e+01     1.558366681981732e+19     3.850000000002877e-01     4.733678421611949e-01     2.433694271282875e-01     7.075092387392520e-02     1.269653814232163e+00     1.201886346776541e+01     2.832627281565500e-01     2.553967897991174e-09     2.090692024570487e-43     0.000000000000000e+00     7.087899942937603e-02     2.124966228995708e-10     1.594114973981323e-45     0.000000000000000e+00     6.969663639057826e-44     0.000000000000000e+00     4.944850542386118e-46     0.000000000000000e+00
